"myAUC"	"avg_diff"	"power"	"pct.1"	"pct.2"
"KH2013:KH.C9.186_PLCD1/3/4"	0.198	-3.37952205136886	0.604	0.049	0.585
"NKD1/2/3"	0.801	1.17139869590329	0.602	0.903	0.492
"KCNIP1/2/3/4"	0.8	3.24345922702795	0.6	0.646	0.077
"ANKRD32"	0.798	1.14049834328603	0.596	0.694	0.108
"KH2013:KH.C6.163_FLRT1/2/3"	0.798	1.65502076269703	0.596	0.771	0.231
"KH2013:KH.C7.388_CHRNB1"	0.798	2.53823612808806	0.596	0.674	0.2
"S1PR1/4"	0.797	3.00342125436296	0.594	0.66	0.123
"KH2013:KH.L170.62_SORD"	0.797	3.67958592481825	0.594	0.611	0.046
"ERG5"	0.204	-2.05504336606002	0.592	0.222	0.738
"HAND/1/2"	0.205	-1.53280189488048	0.59	0.493	0.831
"KH2013:KH.C12.419_TSPAN4/9"	0.795	1.01463542501609	0.59	0.986	0.677
"SMURF1/2"	0.794	1.34478037457373	0.588	0.875	0.415
"KH2013:KH.C5.299_CAPSL"	0.207	-1.89443647242352	0.586	0.34	0.754
"KH2013:KH.S1697.1"	0.791	2.84790765699439	0.582	0.528	0.031
"TMTC2"	0.789	2.51596104428409	0.578	0.604	0.092
"KH2013:KH.C7.649_ENPP7"	0.213	-1.09444494269153	0.574	0.778	0.908
"TCF7L1/2"	0.214	-1.28942863702075	0.572	0.736	0.908
"KH2013:KH.C4.517_HMCN1"	0.786	2.33747093885417	0.572	0.625	0.062
"KH2013:KH.C11.32"	0.784	3.3942759287467	0.568	0.597	0.046
"MYO18A"	0.217	-1.27510794438736	0.566	0.708	0.862
"SLC6A11/12/13/2/6/8"	0.783	1.09946008775914	0.566	0.938	0.523
"NAV1/2/3"	0.783	1.01915280206982	0.566	0.972	0.785
"KH2013:KH.C1.862"	0.218	-3.47804206817502	0.564	0.042	0.585
"SOX11/12/4"	0.218	-1.34711425776329	0.564	0.493	0.831
"RECK"	0.781	1.87806386695035	0.562	0.597	0.046
"KH2013:KH.C13.152_F14B6.6"	0.78	1.02238466015531	0.56	0.938	0.615
"C19ORF45"	0.78	3.40216964238511	0.56	0.583	0.062
"SYNE1/2"	0.221	-1.33779529196403	0.558	0.785	0.877
"KH2013:KH.C4.125_BMP2/4"	0.222	-1.57303430934977	0.556	0.389	0.8
"RAC1/2"	0.222	-1.00759560156814	0.556	0.812	0.985
"KH2013:KH.C10.566"	0.223	-1.9938320910708	0.554	0.299	0.738
"KH2013:KH.L20.50"	0.223	-3.98453691919583	0.554	0.028	0.569
"FOXH1"	0.225	-1.01463334382203	0.55	0.868	0.969
"GREM1/2"	0.226	-3.56526214775759	0.548	0.076	0.585
"NACP60E"	0.774	1.62920274763749	0.548	0.611	0.092
"MYLK2/3/4"	0.229	-3.81322499359654	0.542	0.049	0.569
"KH2013:KH.C7.216"	0.229	-1.27385389904316	0.542	0.535	0.846
"KH2013:KH.S1442.1"	0.229	-1.50058323460489	0.542	0.403	0.8
"KH2013:KH.S725.5"	0.23	-1.6915626209821	0.54	0.361	0.754
"DHCR7"	0.769	1.9305471679636	0.538	0.701	0.215
"KH2013:KH.C11.288_ITLN3"	0.233	-1.97058846780583	0.534	0.222	0.692
"FOXF1/2"	0.233	-1.27931599718114	0.534	0.375	0.815
"KH2013:KH.C12.376_Ci-cluster"	0.234	-2.38854908846342	0.532	0.194	0.646
"FZD4"	0.236	-3.42894166833542	0.528	0.042	0.554
"KH2013:KH.L170.56_C2ORF89"	0.236	-1.65616068051726	0.528	0.153	0.646
"KH2013:KH.C10.1"	0.763	1.84129936279315	0.526	0.604	0.154
"C14ORF159"	0.763	3.51177107305395	0.526	0.535	0.015
"NR4A1/3"	0.239	-2.50083177644399	0.522	0.056	0.569
"KH2013:KH.L106.3"	0.239	-4.1733746100191	0.522	0.028	0.538
"LGR4/5/6"	0.761	1.24891043735649	0.522	0.75	0.277
"KH2013:KH.C6.17_SLC2A1"	0.761	2.50684858642277	0.522	0.569	0.077
"NRBP1/2"	0.24	-1.37251386246382	0.52	0.681	0.923
"KH2013:KH.C1.509"	0.76	5.23688808818303	0.52	0.521	0
"KH2013:KH.C14.245_TMED6"	0.242	-1.95657749326897	0.516	0.354	0.723
"KH2013:KH.C2.22"	0.242	-1.77603908981007	0.516	0.34	0.708
"CAPN3/8"	0.756	1.0982538611668	0.512	0.778	0.323
"RALGPS1/2"	0.756	1.04089005237233	0.512	0.854	0.477
"SNX11"	0.245	-2.50949904859647	0.51	0.16	0.6
"LRTM1/2"	0.755	3.32192280334296	0.51	0.535	0.046
"PLEKHG4"	0.247	-1.21325596519135	0.506	0.604	0.831
"ANK1/2/3"	0.248	-2.02539064620581	0.504	0.257	0.646
"TRAF4"	0.248	-1.20496846594871	0.504	0.465	0.831
"KH2013:KH.C9.101"	0.249	-1.5876676850891	0.502	0.312	0.723
"PCTP"	0.251	-1.7655770344672	0.498	0.243	0.646
"CELF3/4/5/6"	0.251	-1.59939533082868	0.498	0.222	0.662
"KH2013:KH.C4.120"	0.748	1.05615159769963	0.496	0.729	0.277
"GM1840"	0.253	-1.35527353984676	0.494	0.514	0.785
"KH2013:KH.S516.1"	0.254	-1.88380032172999	0.492	0.153	0.508
"KH2013:KH.C4.412"	0.746	3.34277148658878	0.492	0.528	0.046
"KH2013:KH.C6.76_Y40B10A.2/6/7"	0.255	-2.47157352632082	0.49	0.062	0.538
"SLC25A33/36"	0.744	1.24011072172178	0.488	0.736	0.338
"CG5844"	0.744	1.50884968211002	0.488	0.646	0.169
"BAG3/4"	0.257	-1.10370215851898	0.486	0.868	0.908
"POP5"	0.743	1.22763494936705	0.486	0.868	0.569
"KH2013:KH.S643.6_CDKN1B"	0.742	1.19178899728124	0.484	0.847	0.446
"AEBP2"	0.259	-1.08073099320939	0.482	0.66	0.877
"PDE1C"	0.259	-1.53576210026046	0.482	0.361	0.723
"KH2013:KH.C3.588_ALDH5A1"	0.741	1.23597694367644	0.482	0.736	0.385
"KH2013:KH.C5.433"	0.739	2.22554889592576	0.478	0.535	0.062
"KH2013:KH.S406.20"	0.739	1.5614858224455	0.478	0.59	0.138
"PNPLA2/3/5"	0.262	-1.73775239579468	0.476	0.167	0.615
"KH2013:KH.S1022.3"	0.737	1.41567922847305	0.474	0.604	0.277
"KH2013:KH.C9.692_GABRR1/2/3"	0.735	1.07843379047077	0.47	0.764	0.4
"ERF"	0.266	-1.42122293838115	0.468	0.444	0.754
"CCDC66"	0.734	1.20099995833332	0.468	0.701	0.292
"KH2013:KH.L19.1_ROBO1/2"	0.734	2.39642154963897	0.468	0.597	0.2
"TMEM55A"	0.267	-1.57902139910443	0.466	0.479	0.815
"GABARAP"	0.268	-1.03303649323214	0.464	0.757	0.846
"KH2013:KH.C7.230"	0.732	1.09512167762077	0.464	0.66	0.215
"HS3ST3L"	0.269	-1.6433011873552	0.462	0.257	0.646
"ANXA13/7"	0.269	-3.35960827244582	0.462	0.062	0.508
"KH2013:KH.C9.182_AADAT"	0.731	1.42129962544094	0.462	0.611	0.154
"RARG"	0.271	-1.18028181490837	0.458	0.5	0.769
"KH2013:KH.C9.417_BX119910.1/10/11/12/13/14/16/2/3/4/5/6/7/8/9"	0.272	-2.46066605460939	0.456	0.062	0.508
"KH2013:KH.C5.110_RPN2"	0.728	1.06169886404546	0.456	0.556	0.108
"KH2013:KH.C12.669_PHEX"	0.727	1.39573179472674	0.454	0.66	0.231
"KH2013:KH.C1.1161_CCH1"	0.274	-1.74356295530428	0.452	0.306	0.662
"KH2013:KH.C3.202_EFNA1/2/3/4/5"	0.277	-1.12400643454108	0.446	0.382	0.723
"OTUD3"	0.723	1.29017333157404	0.446	0.653	0.215
"KH2013:KH.S404.8_HSP-16.1/11/2/41/48/49"	0.722	1.53014607031914	0.444	0.799	0.523
"KH2013:KH.L149.2_METTL24"	0.721	2.80547609514748	0.442	0.507	0.092
"KH2013:KH.S404.12_HSP-16.1/11/2/41/48/49"	0.721	1.35243166821702	0.442	0.861	0.692
"PXDN"	0.285	-1.41789080558189	0.43	0.243	0.631
"MYOM1/2/3"	0.286	-1.30878240278981	0.428	0.424	0.723
"TRIP11"	0.287	-1.9460354846629	0.426	0.146	0.523
"AGAP1/2/3/9"	0.289	-1.38689770034094	0.422	0.368	0.677
"PHLDA2/3"	0.289	-1.29278764879258	0.422	0.528	0.769
"MYOC"	0.29	-1.39061840368176	0.42	0.25	0.615
"ASS1"	0.71	1.41884640973813	0.42	0.583	0.2
"EPH"	0.291	-1.04909283947386	0.418	0.576	0.738
"RGS17/18/19/20"	0.708	1.5280972141024	0.416	0.528	0.123
"PLEK/2"	0.293	-2.27721519985412	0.414	0.139	0.523
"GRAMD1A"	0.293	-1.56569651939139	0.414	0.181	0.538
"FREM2"	0.293	-1.13757111026884	0.414	0.167	0.538
"KH2013:KH.C6.138"	0.707	1.97172018987352	0.414	0.514	0.123
"KH2013:KH.C9.384_MYLK"	0.707	2.41100830241956	0.414	0.528	0.169
"DUSP1/2/4/5"	0.295	-1.46111598764864	0.41	0.583	0.708
"KH2013:KH.C4.179"	0.703	1.12120354241398	0.406	0.576	0.185
"KH2013:KH.C4.226"	0.299	-1.01553819320193	0.402	0.486	0.769
"KH2013:KH.C9.40_GSTO1/2"	0.299	-1.51854435879374	0.402	0.222	0.585
"MAP1LC3B/2"	0.3	-1.02423143839412	0.4	0.674	0.8
"KH2013:KH.C9.366"	0.7	1.17563223158705	0.4	0.66	0.308
"PDE4D"	0.699	1.0524390268082	0.398	0.632	0.246
"WNT5B"	0.304	-2.00786316905241	0.392	0.153	0.508
"KH2013:KH.C9.216_PLAC8"	0.305	-1.05723554846654	0.39	0.618	0.754
"LGALS4/8/9"	0.695	1.98420298786166	0.39	0.507	0.138
"KH2013:KH.C2.360"	0.308	-1.08858586694559	0.384	0.361	0.554
"RGS12"	0.692	1.39081208078873	0.384	0.535	0.154
"KH2013:KH.L116.92_ATP2A1/2"	0.691	1.2577588609429	0.382	0.771	0.677
"DAPK1/2/3"	0.312	-1.92090528367426	0.376	0.181	0.508
"MYL10/2/5/7"	0.312	-1.35638015227645	0.376	0.417	0.646
"SUFU"	0.313	-1.02906342211421	0.374	0.632	0.785
"KH2013:KH.L47.10"	0.314	-1.68453841778254	0.372	0.326	0.585
